sim_id,nFlows,nRouters,coredelay,nGroups,fwin,thp,retr,timeout,redun,fmaxcount,lossr,effrec,fr,lostret,fmax
tcprouter,10,5,100,3,0,79.25,0.110,4,0.000,0,0.000,0.00000,5.2,97.80,10
tcprouter,10,5,100,1,0,79.25,0.110,4,0.000,0,0.000,0.00000,5.2,97.80,20
tcprouter,20,5,100,1,0,77.32,0.147,5,0.000,0,0.000,0.00000,11.0,97.80,10
tcprouter,20,5,100,3,0,77.32,0.147,5,0.000,0,0.000,0.00000,11.0,97.80,20
tcprouter,20,5,100,3,0,77.32,0.147,5,0.000,0,0.000,0.00000,11.0,97.80,10
tcprouter,20,5,100,1,0,77.32,0.147,5,0.000,0,0.000,0.00000,11.0,97.80,20
tcprouter,10,7,100,1,0,74.47,0.083,4,0.000,0,0.000,0.00000,4.9,97.80,10
tcprouter,10,7,100,3,0,74.47,0.083,4,0.000,0,0.000,0.00000,4.9,97.80,20
tcprouter,10,7,100,3,0,74.47,0.083,4,0.000,0,0.000,0.00000,4.9,97.80,10
tcprouter,10,7,100,1,0,74.47,0.083,4,0.000,0,0.000,0.00000,4.9,97.80,20
tcprouter,20,7,100,1,0,76.45,0.159,9,0.000,0,0.000,0.00000,9.3,97.80,10
tcprouter,20,7,100,3,0,76.45,0.159,9,0.000,0,0.000,0.00000,9.3,97.80,20
tcprouter,20,7,100,3,0,76.45,0.159,9,0.000,0,0.000,0.00000,9.3,97.80,10
tcprouter,20,7,100,1,0,76.45,0.159,9,0.000,0,0.000,0.00000,9.3,97.80,20
