f 10 d 25 g 1 w 50 thp 87.06
f 10 d 25 g 1 w 75 thp 90.05
f 10 d 25 g 1 w 100 thp 90.05
f 10 d 25 g 3 w 10 thp 85.95
f 10 d 25 g 3 w 20 thp 89.68
f 10 d 25 g 3 w 50 thp 91.57
f 10 d 25 g 3 w 75 thp 89.88
f 10 d 25 g 3 w 100 thp 84.10
f 10 d 25 g 5 w 10 thp 85.98
f 10 d 25 g 5 w 20 thp 89.36
f 10 d 25 g 5 w 50 thp 85.77
f 10 d 25 g 5 w 75 thp 78.53
f 10 d 25 g 5 w 100 thp 54.38
f 10 d 25 g 7 w 10 thp 85.90
f 10 d 25 g 7 w 20 thp 88.28
f 10 d 25 g 7 w 50 thp 73.03
f 10 d 25 g 7 w 75 thp 57.85
f 10 d 25 g 7 w 100 thp 68.83
f 10 d 25 g 9 w 10 thp 85.09
f 10 d 25 g 9 w 20 thp 87.84
f 10 d 25 g 9 w 50 thp 68.61
f 10 d 25 g 9 w 75 thp 9.56
f 10 d 25 g 9 w 100 thp 44.13
f 10 d 50 g 1 w 10 thp 80.27
f 10 d 50 g 1 w 20 thp 76.62
f 10 d 50 g 1 w 50 thp 85.62
f 10 d 50 g 1 w 75 thp 88.01
f 10 d 50 g 1 w 100 thp 88.49
f 10 d 50 g 3 w 10 thp 84.64
f 10 d 50 g 3 w 20 thp 87.99
f 10 d 50 g 3 w 50 thp 90.18
f 10 d 50 g 3 w 75 thp 88.27
f 10 d 50 g 3 w 100 thp 79.63
f 10 d 50 g 5 w 10 thp 84.72
f 10 d 50 g 5 w 20 thp 88.79
f 10 d 50 g 5 w 50 thp 83.23
f 10 d 50 g 5 w 75 thp 76.84
f 10 d 50 g 5 w 100 thp 71.68
f 10 d 50 g 7 w 10 thp 84.45
f 10 d 50 g 7 w 20 thp 87.59
f 10 d 50 g 7 w 50 thp 72.57
f 10 d 50 g 7 w 75 thp 70.82
f 10 d 50 g 7 w 100 thp 64.95
f 10 d 50 g 9 w 10 thp 84.40
f 10 d 50 g 9 w 20 thp 87.40
f 10 d 50 g 9 w 50 thp 70.07
f 10 d 50 g 9 w 75 thp 65.68
f 10 d 50 g 9 w 100 thp 60.41
f 10 d 100 g 1 w 10 thp 76.17
f 10 d 100 g 1 w 20 thp 77.29
f 10 d 100 g 1 w 50 thp 80.25
f 10 d 100 g 1 w 75 thp 80.62
f 10 d 100 g 1 w 100 thp 82.88
f 10 d 100 g 3 w 10 thp 80.00
f 10 d 100 g 3 w 20 thp 84.57
f 10 d 100 g 3 w 50 thp 86.53
f 10 d 100 g 3 w 75 thp 77.02
f 10 d 100 g 3 w 100 thp 77.22
f 10 d 100 g 5 w 10 thp 81.51
f 10 d 100 g 5 w 20 thp 83.83
f 10 d 100 g 5 w 50 thp 72.38
f 10 d 100 g 5 w 75 thp 70.83
f 10 d 100 g 5 w 100 thp 68.70
f 10 d 100 g 7 w 10 thp 81.10
f 10 d 100 g 7 w 20 thp 83.84
f 10 d 100 g 7 w 50 thp 66.35
f 10 d 100 g 7 w 75 thp 69.45
f 10 d 100 g 7 w 100 thp 64.53
f 10 d 100 g 9 w 10 thp 80.03
f 10 d 100 g 9 w 20 thp 82.55
f 10 d 100 g 9 w 50 thp 67.26
f 10 d 100 g 9 w 75 thp 65.33
f 10 d 100 g 9 w 100 thp 64.21
